id,"name","shorthand","code","created_at","updated_at"
1,"Albatross III 1948-2/20/59","AB","31AB","2011-01-27 21:34:14","2011-01-27 21:35:46"
2,"Atlantis I 1931-9/63","AT","31AT","2011-01-27 21:34:14","2011-01-27 21:35:48"
3,"Atlantis II 4/63-Present","AN","31AN","2011-01-27 21:34:15","2011-01-27 21:35:48"
4,"Crawford","CF","31CF","2011-01-27 21:34:15","2011-01-27 21:35:52"
5,"Discovery II","DS","74DS","2011-01-27 21:34:15","2011-01-27 21:35:53"
6,"Anton Dohrn Pre-8/72","AD","06AD","2011-01-27 21:34:15","2011-01-27 21:35:47"
7,"Discoverer","DS","31DS","2011-01-27 21:34:17","2011-01-27 21:35:52"
8,"Chain","CI","31CI","2011-01-27 21:34:17","2011-01-27 21:35:51"
9,"Asterias","AT","58AT","2011-01-27 21:34:17","2011-01-27 21:35:47"
10,"A. T. Cameron","AT","18AT","2011-01-27 21:34:18","2011-01-27 21:35:45"
11,"Erika Dan","ER","31ER","2011-01-27 21:34:19","2011-01-27 21:35:55"
12,"Hidalgo","HI","31HI","2011-01-27 21:34:19","2011-01-27 21:35:57"
13,"Hinders","HI","11HI","2011-01-27 21:34:19","2011-01-27 21:35:58"
14,"Horizon","HO","31HO","2011-01-27 21:34:20","2011-01-27 21:35:58"
15,"W. Edward","ED","18ED","2011-01-27 21:34:20","2011-01-27 21:36:08"
16,"Edisto","ED","31ED","2011-01-27 21:34:20","2011-01-27 21:35:53"
17,"Explorer","EX","74EX","2011-01-27 21:34:21","2011-01-27 21:35:55"
18,"USNS Prevail T-AGOS 8","PR","31PR","2011-01-27 21:34:21","2011-01-27 21:36:07"
19,"Peder Ronnestad","PR","58PR","2011-01-27 21:34:21","2011-01-27 21:36:04"
20,"Virazon","VI","32VI","2011-01-27 21:34:22","2011-01-27 21:36:08"
21,"Baffin","BA","18BA","2011-01-27 21:34:22","2011-01-27 21:35:49"
22,"Baltyk","BA","67BA","2011-01-27 21:34:23","2011-01-27 21:35:49"
23,"M. S. Snellius","SN","64SN","2011-01-27 21:34:23","2011-01-27 21:36:02"
24,"Vidal","VI","74VI","2011-01-27 21:34:23","2011-01-27 21:36:07"
25,"J. E. Pillsbury","JP","31JP","2011-01-27 21:34:24","2011-01-27 21:35:59"
26,"Labrador","LA","18LA","2011-01-27 21:34:25","2011-01-27 21:36:01"
27,"Thomas G. Thompson KGWT 1963-1991","TT","31TT","2011-01-27 21:34:25","2011-01-27 21:36:06"
28,"Hudson","HU","18HU","2011-01-27 21:34:26","2011-01-27 21:35:58"
29,"Humboldt","HU","31HU","2011-01-27 21:34:26","2011-01-27 21:35:58"
30,"Gilliss","GI","31GI","2011-01-27 21:34:27","2011-01-27 21:35:57"
31,"Lynch","LY","31LY","2011-01-27 21:34:28","2011-01-27 21:36:01"
32,"Meteor Post-7/64","MT","06MT","2011-01-27 21:34:28","2011-01-27 21:36:02"
33,"G. O. Sars LLZG","GS","58GS","2011-01-27 21:34:29","2011-01-27 21:35:56"
34,"Akademik Knipovich","KN","CUKN","2011-01-27 21:34:31","2011-01-27 21:35:45"
35,"Kane","KN","31KN","2011-01-27 21:34:31","2011-01-27 21:35:59"
36,"Skagerak","SK","77SK","2011-01-27 21:34:32","2011-01-27 21:36:06"
37,"Rockaway","RC","31RC","2011-01-27 21:34:33","2011-01-27 21:36:05"
38,"Trident","TR","31TR","2011-01-27 21:34:35","2011-01-27 21:36:07"
39,"Metridia","MT","18MT","2011-01-27 21:34:37","2011-01-27 21:36:03"
40,"Sands","SD","31SD","2011-01-27 21:34:37","2011-01-27 21:36:05"
41,"Shkval","SK","90SK","2011-01-27 21:34:37","2011-01-27 21:36:05"
42,"Knorr","6N","316N","2011-01-27 21:34:38","2011-01-27 21:36:00"
43,"Cirolana","CZ","74CZ","2011-01-27 21:34:39","2011-01-27 21:35:51"
44,"Antares","AN","CUAN","2011-01-27 21:34:40","2011-01-27 21:35:47"
45,"Bjarni Saemundsson TFEA","BS","46BS","2011-01-27 21:34:41","2011-01-27 21:35:50"
46,"  MT","MT",NULL,"2011-01-27 21:34:44","2011-01-27 21:34:44"
47,"Endeavor","EV","32EV","2011-01-27 21:34:44","2011-01-27 21:35:54"
48,"  HU","HU",NULL,"2011-01-27 21:34:45","2011-01-27 21:34:45"
49,"Oceanus","8M","32OC","2011-01-27 21:34:45","2011-01-27 21:36:04"
50,"Poseidon","PO","06PO","2011-01-27 21:34:45","2011-01-27 21:36:04"
51,"Meteor Pre-7/64","ME","06ME","2011-01-27 21:34:46","2011-01-27 21:36:03"
52,"Capitan Canepa","CC","08CC","2011-01-27 21:34:49","2011-01-27 21:35:50"
53,"Eltanin","ET","31ET","2011-01-27 21:34:50","2011-01-27 21:35:54"
54,"Geronimo","GN","31GN","2011-01-27 21:34:51","2011-01-27 21:35:56"
55,"Argo","AR","31AR","2011-01-27 21:34:52","2011-01-27 21:36:12"
56,"Glacier","GL","31GL","2011-01-27 21:34:53","2011-01-27 21:35:57"
57,"T. Washington","WT","31WT","2011-01-27 21:34:54","2011-01-27 21:36:06"
58,"Melville","8M","318M","2011-01-27 21:34:56","2011-01-27 21:36:02"
59,"Goyena","GO","08GO","2011-01-27 21:34:56","2011-01-27 21:35:57"
60,"R. Conrad","RD","31RD","2011-01-27 21:34:57","2011-01-27 21:36:05"
61,"Islas Orcadas","IS","08IS","2011-01-27 21:34:57","2011-01-27 21:35:59"
62,"Evrika","EV","90EV","2011-01-27 21:34:58","2011-01-27 21:35:55"
63,"Wilkes","9W","319W","2011-01-27 21:34:59","2011-01-27 21:36:26"
64,"  OC","OC",NULL,"2011-01-27 21:35:00","2011-01-27 21:35:00"
65,"Akademik Knipovich",NULL,"90KN","2011-01-27 21:35:45","2011-01-27 21:35:45"
66,"Explorer",NULL,"31EX","2011-01-27 21:35:55","2011-01-27 21:35:55"
67,"Unknown","99","__9W","2011-01-27 21:36:07","2011-01-27 21:36:37"
68,"Diamantina","DM","09DM","2011-01-27 21:36:08","2011-01-27 21:36:21"
69,"Vema","VE","31VE","2011-01-27 21:36:09","2011-01-27 21:36:26"
70,"Africana II","AF","91AF","2011-01-27 21:36:09","2011-01-27 21:36:19"
71,"Anton Bruun","AO","31AO","2011-01-27 21:36:11","2011-01-27 21:36:19"
72,"Discovery","DI","74DI","2011-01-27 21:36:12","2011-01-27 21:36:22"
73,"Serrano","SR","31SR","2011-01-27 21:36:12","2011-01-27 21:36:25"
74,"H. C. Hayes","HH","31HH","2011-01-27 21:36:17","2011-01-27 21:36:23"
75,"Priboy","PY","90PY","2011-01-27 21:36:18","2011-01-27 21:36:25"
76,"Marion Dufresne","MF","35MF","2011-01-27 21:36:18","2011-01-27 21:36:24"
77,"Charles Darwin","AB","74AB","2011-01-27 21:36:19","2011-01-27 21:36:21"
78,"Hakuho-Maru","HH","49HH","2011-01-27 21:36:23","2011-01-27 21:36:29"
79,"Oshawa","OS","18OS","2011-01-27 21:36:26","2011-01-27 21:37:32"
80,"Vityaz BEFORE 12/81","VI","90VI","2011-01-27 21:36:27","2011-01-27 21:37:38"
81,"A. Agassiz","AX","31AX","2011-01-27 21:36:27","2011-01-27 21:37:21"
82,"Surveyor","SU","31SU","2011-01-27 21:36:28","2011-01-27 21:37:35"
83,"Yaquina","YQ","31YQ","2011-01-27 21:36:29","2011-01-27 21:37:39"
84,"David Starr Jordan","JD","31JD","2011-01-27 21:36:29","2011-01-27 21:37:24"
85,"Oshoro Maru","OS","49OS","2011-01-27 21:36:30","2011-01-27 21:37:33"
86,"Takuyo","TK","49TK","2011-01-27 21:36:30","2011-01-27 21:37:36"
87,"Te Vega","V5","31V5","2011-01-27 21:36:30","2011-01-27 21:37:36"
88,"Ryofu Maru","RY","49RY","2011-01-27 21:36:31","2011-01-27 21:37:34"
89,"Shoyo Maru","SY","49SY","2011-01-27 21:36:32","2011-01-27 21:37:34"
90,"Gyre","GY","32GY","2011-01-27 21:36:33","2011-01-27 21:37:28"
91,"  NM","NM",NULL,"2011-01-27 21:36:34","2011-01-27 21:36:34"
92,"Moana Wave WUS9293","MW","32MW","2011-01-27 21:36:34","2011-01-27 21:37:32"
93,"  AM","AM",NULL,"2011-01-27 21:36:35","2011-01-27 21:36:35"
94,"Xiang Yang Hong 14","X9","76X9","2011-01-27 21:36:35","2011-01-27 21:37:39"
95,"Carnegie","CN","31CN","2011-01-27 21:36:35","2011-01-27 21:37:24"
96,"Willebrod Snellius","WS","64WS","2011-01-27 21:36:35","2011-01-27 21:37:39"
97,"Hakuyo-Maru","HK","49HK","2011-01-27 21:36:36","2011-01-27 21:37:30"
98,"Brownson","BR","31BR","2011-01-27 21:36:36","2011-01-27 21:37:23"
99,"H. M. Smith","HS","31HS","2011-01-27 21:36:36","2011-01-27 21:37:29"
100,"Stranger","ST","31ST","2011-01-27 21:36:38","2011-01-27 21:37:35"
101,"Atka","AK","31AK","2011-01-27 21:36:38","2011-01-27 21:37:22"
102,"Spencer F. Baird","SB","31SB","2011-01-27 21:36:38","2011-01-27 21:37:34"
103,"Ob","OB","90OB","2011-01-27 21:36:38","2011-01-27 21:37:32"
104,"Westwind","WE","31WE","2011-01-27 21:36:39","2011-01-27 21:37:39"
105,"Northwind","NW","31NW","2011-01-27 21:36:39","2011-01-27 21:37:32"
106,"Burton Island","BI","31BI","2011-01-27 21:36:39","2011-01-27 21:37:23"
107,"Eastwind","EW","31EW","2011-01-27 21:36:39","2011-01-27 21:37:26"
108,"Gascoyne","GA","09GA","2011-01-27 21:36:39","2011-01-27 21:37:28"
109,"Rehoboth","RH","31RH","2011-01-27 21:36:40","2011-01-27 21:37:33"
110,"Staten Island","SI","31SI","2011-01-27 21:36:40","2011-01-27 21:37:35"
111,"Jalanidhi","JA","42JA","2011-01-27 21:36:43","2011-01-27 21:37:31"
112,"C. H. Davis","CD","31CD","2011-01-27 21:36:45","2011-01-27 21:37:24"
113,"Eastward","EZ","31EZ","2011-01-27 21:36:51","2011-01-27 21:37:25"
114,"Volna","VB","90VB","2011-01-27 21:36:52","2011-01-27 21:37:38"
115,"Franklin   VJJF","FA","09FA","2011-01-27 21:36:53","2011-01-27 21:37:27"
116,"Unknown",NULL,"3199","2011-01-27 21:37:37","2011-01-27 21:37:37"
117,"Unknown",NULL,"__AM","2011-01-27 21:37:37","2011-01-27 21:37:37"
118,"Unknown",NULL,"__NM","2011-01-27 21:37:38","2011-01-27 21:37:38"
119,"Unknown",NULL,"__OC","2011-01-27 21:37:38","2011-01-27 21:37:38"
120,"Unknown",NULL,"__TK","2011-01-27 21:37:38","2011-01-27 21:37:38"
